id,name,slug,product_url,category,skus,eans,ean_sources,price_amounts,stock_values,image_urls,broken_image_urls,dietary_tags,allergens,english_name,english_description,severity,issues
98135e9b-e0fc-452e-b055-b49ad9c2c60f,"Zestaw do herbaty matcha zielony, 4 elementy - Edo Japan",zestaw-do-herbaty-matcha-zielony-4-elementy-edo-japan-adg001327,https://asiandeligo.eshoper.pro/products/zestaw-do-herbaty-matcha-zielony-4-elementy-edo-japan-adg001327,Komplety do sushi i herbaty,ADG-001327,,,169|169,100,https://img.zira.pl/asiandeligo/products/KIMCHI-5131/1.webp,,,,"Matcha Tea Set Green, 4 pieces - Edo Japan",A green matcha tea set featuring 4 pieces for preparing and serving matcha tea.,blocker,legacy_image_key|slug_contains_sku|missing_ingredients|missing_allergens|missing_nutrition|missing_storage_zone|missing_unit_price|missing_ean|verified_image_identity_mismatch
ba2d2a1a-dfb3-46b8-addd-8ce5c7263201,Ryż jaśminowy Fragrant Jasmine Rice 1kg Tilda,ryz-jasminowy-fragrant-jasmine-rice-1kg-tilda-adg001782,https://asiandeligo.eshoper.pro/products/ryz-jasminowy-fragrant-jasmine-rice-1kg-tilda-adg001782,Ryż i inne ziarna,ADG-001782,,,9.99|9.99,100,https://img.zira.pl/asiandeligo/products/KIMCHI-5831/1.webp,,,,Fragrant Jasmine Rice 1kg - Tilda,"Fragrant jasmine rice, suitable for a variety of dishes.",blocker,legacy_image_key|slug_contains_sku|non_ascii_category_slug|missing_allergens|missing_ean|verified_image_identity_mismatch
7fa0794c-4b10-4a95-af48-836af22467ef,"Kaki no Tane, przyprawione krakersy ryżowe arare z orzeszkami 180g (6 x 30g) - KAMEDA",kaki-no-tane-przyprawione-krakersy-ryzowe-arare-z-orzeszkami-180g-6-x-30g-kameda-adg001463,https://asiandeligo.eshoper.pro/products/kaki-no-tane-przyprawione-krakersy-ryzowe-arare-z-orzeszkami-180g-6-x-30g-kameda-adg001463,Słodycze / Przekąski,ADG-001463,,,22|22,100,https://img.zira.pl/asiandeligo/products/KIMCHI-5337/1.webp,,,crustaceans|fish|peanuts|soybeans|molluscs|cereals,"Kaki no Tane, seasoned rice cracker snacks with peanuts 180g (6 x 30g) - KAMEDA","Crispy arare in a sweet and salty soy glaze with peanuts, a classic Japanese snack. Convenient mini packs perfect for sharing or as a quick snack.",blocker,legacy_image_key|slug_contains_sku|non_ascii_category_slug|missing_ean|verified_image_identity_mismatch
45377393-b488-4a6b-867f-c7d0bc7e9aa4,Mleko kokosowe (70% wyciągu z kokosa) 1L w kartonie AROY-D,mleko-kokosowe-70-wyciagu-z-kokosa-1l-w-kartonie-aroy-d-adg001446,https://asiandeligo.eshoper.pro/products/mleko-kokosowe-70-wyciagu-z-kokosa-1l-w-kartonie-aroy-d-adg001446,Mleczko kokosowe,ADG-001446,,,11.9|11.9,100,https://img.zira.pl/asiandeligo/products/KIMCHI-5311/1.webp,,,nuts,Coconut Milk (70% Coconut Extract) 1L Carton - AROY-D,Coconut Milk (70% Coconut Extract) 1L Carton - AROY-D,blocker,legacy_image_key|slug_contains_sku|missing_ean|verified_image_identity_mismatch
94ce31c6-45fe-45fd-8793-b2872bcb3a70,Sos rybny Myeolchi Aekjeot z anchois 870ml - Hansung,sos-rybny-myeolchi-aekjeot-z-anchois-870ml-hansung-adg001666,https://asiandeligo.eshoper.pro/products/sos-rybny-myeolchi-aekjeot-z-anchois-870ml-hansung-adg001666,"Sosy, marynaty",ADG-001666,,,66.9|66.9,100,https://img.zira.pl/asiandeligo/products/KIMCHI-5576/1.webp,,,fish,Myeolchi Aekjeot Anchovy Fish Sauce 870ml - Hansung,"Korean Myeolchi Aekjeot from Hansung is a fermented anchovy sauce with an intense flavor, great for soups, sauces, marinades, and vegetables.",blocker,legacy_image_key|slug_contains_sku|missing_ean|verified_image_identity_mismatch
2186c4ef-8e8e-4870-a10d-3d16f6cdf079,"Nóż Tomoko Yanagi-Sashimi 20,5cm - Satake Cutlery",noz-tomoko-yanagi-sashimi-20-5cm-satake-cutlery,https://asiandeligo.eshoper.pro/products/noz-tomoko-yanagi-sashimi-20-5cm-satake-cutlery,Noże,ADG-001744,,,99.5|99.5,0,https://img.zira.pl/asiandeligo/products/KIMCHI-5777/1.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-5777/2.webp,,,,Tomoko Yanagi-Sashimi Knife 20.5cm - Satake Cutlery,A traditional knife for slicing sashimi with finesse.,review,legacy_image_key|out_of_stock|non_ascii_category_slug|missing_ingredients|missing_allergens|missing_nutrition|missing_storage_zone|missing_unit_price|missing_ean
c0c9f272-d21f-4dd8-a565-c2d0242b18a6,Patelnia stalowa do tamagoyaki - duża (22 x 23 cm) Emro Aziatica,patelnia-stalowa-do-tamagoyaki-duza-22-x-23-cm-emro-aziatica,https://asiandeligo.eshoper.pro/products/patelnia-stalowa-do-tamagoyaki-duza-22-x-23-cm-emro-aziatica,Patelnie Tamago,ADG-000426,,,154.9|154.9,0,https://img.zira.pl/asiandeligo/products/KIMCHI-2230/1.webp,,,,Large Tamagoyaki Steel Pan (22 x 23 cm) - Emro Aziatica,"Large steel pan 23 x 22 cm for tamagoyaki. Heats quickly and evenly, suitable for all stovetops, including induction. Perfect for making layered Japanese omelets for sushi and bento.",review,legacy_image_key|out_of_stock|missing_ingredients|missing_allergens|missing_nutrition|missing_storage_zone|missing_unit_price|missing_ean
395b8f96-abfe-4e83-a824-0fb4c66928b2,"Zestaw do sushi żółto-brązowy, 6 elementów - Edo Japan",zestaw-do-sushi-zolto-brazowy-6-elementow-edo-japan,https://asiandeligo.eshoper.pro/products/zestaw-do-sushi-zolto-brazowy-6-elementow-edo-japan,Komplety do sushi i herbaty,ADG-001423,,,185|185,0,https://img.zira.pl/asiandeligo/products/KIMCHI-5272/1.webp,,,,"Yellow-Brown Sushi Set, 6 Pieces - Edo Japan",A sushi set designed for enjoying sushi and other Asian dishes. Ideal for enhancing your dining experience.,review,legacy_image_key|out_of_stock|missing_ingredients|missing_allergens|missing_nutrition|missing_storage_zone|missing_unit_price|missing_ean
3bf41da3-be08-4b66-aa9c-842cff3be645,Aloe CICA Waterproof Sunscreen SPF 50+ PA++++ Wodoodporny żel przeciwsłoneczny o działaniu kojącym i nawilżającym 100ml Holika Holika,aloe-cica-waterproof-sunscreen-spf-50-pa-wodoodporny-zel-przeciwsloneczny-o-dzialaniu-kojacym-i-nawilzajacym-100ml,https://asiandeligo.eshoper.pro/products/aloe-cica-waterproof-sunscreen-spf-50-pa-wodoodporny-zel-przeciwsloneczny-o-dzialaniu-kojacym-i-nawilzajacym-100ml,Koreańskie kosmetyki,ADG-001551,,,89.9|89.9,0,https://img.zira.pl/asiandeligo/products/KIMCHI-5452/1.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-5452/2.webp,,,,Aloe CICA Waterproof Sunscreen SPF 50+ PA++++ 100ml Holika Holika,Aloe CICA Waterproof Sunscreen SPF 50+ PA++++ is a soothing and moisturizing sunscreen gel that provides maximum UV protection while caring for sensitive skin.,review,legacy_image_key|out_of_stock|non_ascii_category_slug|missing_allergens|missing_nutrition|missing_storage_zone|missing_ean
728eb088-7a13-440f-b45a-7894ec4c51bc,"Płatki suszonego tuńczyka bonito, Katsuobushi 40g - Wadakyu",platki-suszonego-tunczyka-bonito-katsuobushi-40g-wadakyu,https://asiandeligo.eshoper.pro/products/platki-suszonego-tunczyka-bonito-katsuobushi-40g-wadakyu,Buliony,ADG-000637,,,24.9|24.9,0,https://img.zira.pl/asiandeligo/products/KIMCHI-3061/1.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-3061/2.webp,,,fish,Dried Bonito Flakes Katsuobushi 40g - Wadakyu,Dried bonito flakes for making broths and seasoning.,review,legacy_image_key|out_of_stock|missing_nutrition|missing_country|missing_ean
e6ea3343-3c11-456c-8dc9-50a1ade064dc,Ryż kleisty tajski Glutinous Rice 1kg - Golden Phoenix,ryz-kleisty-tajski-glutinous-rice-1kg-golden-phoenix,https://asiandeligo.eshoper.pro/products/ryz-kleisty-tajski-glutinous-rice-1kg-golden-phoenix,Ryż i inne ziarna,ADG-001684,,,18.5|18.5,0,https://img.zira.pl/asiandeligo/products/KIMCHI-5594/1.webp,,,,Glutinous Rice 1kg - Golden Phoenix,Glutinous rice in a 1kg package.,review,legacy_image_key|out_of_stock|non_ascii_category_slug|missing_allergens|missing_ean
43d2910f-4f34-41fb-8a20-5f6671c775c2,Syrop koncentrat Mojito Zero cukru 600ml - Teisseire,syrop-koncentrat-mojito-zero-cukru-600ml-teisseire,https://asiandeligo.eshoper.pro/products/syrop-koncentrat-mojito-zero-cukru-600ml-teisseire,Napoje,ADG-000946,,,25|25,0,https://img.zira.pl/asiandeligo/products/KIMCHI-4267/1.webp,,,,Sugar-Free Mojito Syrup Concentrate 600ml - Teisseire,A sugar-free concentrated syrup for making drinks with a mojito flavor.,review,legacy_image_key|out_of_stock|missing_allergens|missing_storage_zone|missing_ean
a938c19f-4922-4203-af85-360607fe85e5,"Syrop kukurydziany 100% 2,45kg - CJO Essential",syrop-kukurydziany-100-2-45kg-cjo-essential,https://asiandeligo.eshoper.pro/products/syrop-kukurydziany-100-2-45kg-cjo-essential,"Sosy, marynaty",ADG-000201,,,56.9|56.9,0,https://img.zira.pl/asiandeligo/products/KIMCHI-839/1.webp,,,,100% Corn Syrup 2.45kg - CJO Essential,A 100% corn syrup for use in various recipes and food preparations.,review,legacy_image_key|out_of_stock|missing_allergens|missing_storage_zone|missing_ean
b6709415-9254-41d8-9841-6af42c90abeb,Żelki Puré Gummy Muscat o smaku winogronowym 56g - Kanro,zelki-pure-gummy-muscat-o-smaku-winogronowym-56g-kanro,https://asiandeligo.eshoper.pro/products/zelki-pure-gummy-muscat-o-smaku-winogronowym-56g-kanro,Słodycze / Przekąski,ADG-001314,,,13.99|13.99,0,https://img.zira.pl/asiandeligo/products/KIMCHI-5109/1.webp,,,,Puré Gummy Muscat 56g - Kanro,Puré Gummy Muscat 56g for a sweet muscat grape flavor.,review,legacy_image_key|out_of_stock|non_ascii_category_slug|missing_allergens|missing_ean
ac4cff86-3e27-4e03-ae23-52ada84301f5,"Chrupki Zzaldduk o smaku ostrego kurczaka Buldak 2xSpicy, ostre 80g - Samyang",chrupki-zzaldduk-o-smaku-ostrego-kurczaka-buldak-2xspicy-ostre-80g-samyang,https://asiandeligo.eshoper.pro/products/chrupki-zzaldduk-o-smaku-ostrego-kurczaka-buldak-2xspicy-ostre-80g-samyang,Słodycze / Przekąski,ADG-000889,,,9.5|9.5,0,https://img.zira.pl/asiandeligo/products/KIMCHI-4043/1.webp,,,cereals|soybeans,Zzaldduk Crisps Spicy Chicken Buldak 2xSpicy 80g - Samyang,Zzaldduk Crisps Spicy Chicken Buldak 2xSpicy 80g - Samyang,review,legacy_image_key|out_of_stock|non_ascii_category_slug|missing_ean
84fed499-4e80-4c43-9b47-98d191024aab,Danie o smaku ostrego kurczaka Quattro Cheese Buldak 145g - Samyang,danie-o-smaku-ostrego-kurczaka-quattro-cheese-buldak-145g-samyang-adg001760,https://asiandeligo.eshoper.pro/products/danie-o-smaku-ostrego-kurczaka-quattro-cheese-buldak-145g-samyang-adg001760,Ramyun / Ramen,ADG-001760,,,12.5|12.5,100,https://img.zira.pl/asiandeligo/products/KIMCHI-5796/1.webp,,,cereals|soybeans|milk|celery,Spicy Chicken Flavor Quattro Cheese Buldak 145g - Samyang,Spicy chicken flavor noodle dish with quattro cheese. Convenient single serving size.,review,legacy_image_key|slug_contains_sku|missing_ean|possible_physical_duplicate
bc98c093-2ab4-4b1d-9e9a-ebb74ad2d4f6,Danie o smaku ostrego kurczaka Quattro Cheese Buldak 145g - Samyang,danie-o-smaku-ostrego-kurczaka-quattro-cheese-buldak-145g-samyang-adg001282,https://asiandeligo.eshoper.pro/products/danie-o-smaku-ostrego-kurczaka-quattro-cheese-buldak-145g-samyang-adg001282,Ramyun / Ramen,ADG-001282,,,16.9|16.9,100,https://img.zira.pl/asiandeligo/products/KIMCHI-5054/1.webp,,,cereals|soybeans|milk|celery,Spicy Chicken Flavor Quattro Cheese Buldak 145g - Samyang,Spicy chicken flavor noodle dish with quattro cheese. Convenient single serving size.,review,legacy_image_key|slug_contains_sku|missing_ean|possible_physical_duplicate
a7f2f330-7574-46f7-933e-4807fe889c01,"Makaron Konjac, fettuccine 20 x 270g (cały karton) - Asia Style",makaron-konjac-fettuccine-20-x-270g-caly-karton-asia-style,https://asiandeligo.eshoper.pro/products/makaron-konjac-fettuccine-20-x-270g-caly-karton-asia-style,Makaron konjac,ADG-000725,,,137.8|137.8,0,https://img.zira.pl/asiandeligo/products/KIMCHI-3552/1.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-3552/2.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-3552/3.webp,,,,Asia Style Konjac Fettuccine 20 x 270g (whole carton),"Asia Style Konjac Fettuccine in a whole carton of 20 x 270g, suitable for various recipes.",review,legacy_image_key|out_of_stock|missing_allergens|missing_ean
eb16f165-7918-41a1-8fb3-51fea87fc06b,Makaron ramen świeży  ITA-SAN 200g,makaron-ramen-swiezy-ita-san-200g,https://asiandeligo.eshoper.pro/products/makaron-ramen-swiezy-ita-san-200g,Makaron pszenny,ADG-000144,,,4.99|4.99,0,https://img.zira.pl/asiandeligo/products/KIMCHI-599/1.webp,,,cereals,Fresh Ramen Noodles 200g - ITA-SAN,Fresh ramen noodles suitable for diverse recipes.,review,legacy_image_key|out_of_stock|missing_storage_zone|missing_ean
