decision,id,slug,name,category,firstSku,sourceLegacyId,sourceResolution,sourceUrl,sourceStatus,currentIngredientsPresent,currentAllergensPresent,currentNutritionPresent,currentStorageZone,rawAllergenWarning,candidateAllergens,rawStorageText,candidateStorageZone,rawIngredients,nutritionServingSize,nutritionCaloriesKcal,nutritionEnergyKj,nutritionFat,nutritionSaturatedFat,nutritionCarbs,nutritionSugar,nutritionFiber,nutritionProtein,nutritionSalt,nutritionRaw,dietTraits,productTraits
review_candidate,d8daa744-822d-4b90-872d-a5ca92f5b9f4,kawa-mielona-trung-nguyen-che-phin-4-500g,Kawa mielona Trung Nguyen Che Phin 4 - 500g,kawy,ADG-000485,KIMCHI-2480,historical_product_id_mapping,https://kimchi.pl/product-pol-2480.html,200,yes,no,no,AMBIENT,,,Przechowywać w suchym i chłodnym miejscu.,AMBIENT,"Kawa średnio palona (Arabica i Robusta 98,9%, masło 1%, aromat czekolady 0,1%)",,,,,,,,,,,,[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)|Kupująć ten produkt otrzymasz pkt.,
no_metadata_found,96fa6853-7b5d-402e-afec-9412e30310fd,matcha-sproszkowana-zielona-herbata-w-puszce-80g-x-2-tian-hu-shan,"Matcha, sproszkowana zielona herbata w puszce 80g x 2 - Tian Hu Shan",herbaty,ADG-000556,KIMCHI-2723,historical_product_id_mapping,https://kimchi.pl/product-pol-2723.html,200,yes,yes,no,,,,,,,,,,,,,,,,,,"[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)[](https://kimchi.pl/tra-pol-1797-|Weganska.html)[](https://kimchi.pl/tra-pol-1798-|Bezglutenowa.html)|Pay|Po|Kup teraz, zapłać za 30 dni|Kup teraz, zapłać później - 4 kroki|Przy wyborze formy płatności, wybierz|Po.|Po opłaci twój rachunek w sklepie.|Na stronie|Po sprawdź swoje dane i podaj pesel.|Po otrzymaniu zakupów decydujesz co ci pasuje, a co nie.|Możesz zwrócić część albo całość zamówienia - wtedy zmniejszy się też kwota do zapłaty","Bez pszenicy|Importer|Nazwa firmy|Heuschen &|Schrouff|O|F|T|B.|V.|Adres|Sperwerweg 1, 6374|A|G|Landgraaf,|The|Netherlands|Aktualne informacje o towarach zamieszczone na stronie w momencie zakupu, tj. treść opisu, skład oraz wartości odżywcze produktu przekazywane są na adres mailowy|Klienta w formie pliku|P|D|F po złożeniu zamówienia.|Wszelkie materiały (treści, teksty, opisy produktów, grafiki, ikony, bannery, układ elementów itp.) przedstawione w sklepach|Sklep.na|Sushi.pl oraz|Kimchi.pl w obrębie domen: www.sklep.nasushi.pl, www.nasushi.pl oraz www.kimchi.pl są objęte prawami autorskimi|Sushi.pl,|Kimchi.pl lub ich dostawców treści i technologii."
review_candidate,39cc5545-dbd4-4e38-b697-b19d873784cf,kawa-mielona-trung-nguyen-sang-tao-3-340g,Kawa mielona Trung Nguyen Sang Tao 3 - 340g,kawy,ADG-000658,KIMCHI-3149,historical_product_id_mapping,https://kimchi.pl/product-pol-3149.html,200,yes,no,no,AMBIENT,,,Przechowywać w suchym i chłodnym miejscu.,AMBIENT,"Kawa palona, grubo mielona (Arabica Sparrow) - aromaty wanilii, karmelu, kwiatowe",,,,,,,,,,,,[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)[](https://kimchi.pl/tra-pol-1797-|Weganska.html)[](https://kimchi.pl/tra-pol-1798-|Bezglutenowa.html),Bez pszenicy|Bez cukru|Bez nabiału|Bez konserwantów|Kupująć ten produkt otrzymasz pkt.
review_candidate,58149eff-b8aa-4e1e-aeaa-bb2c563df3fd,matcha-uji-cha-sproszkowana-zielona-herbata-50g-maruka,"Matcha Uji-cha, sproszkowana zielona herbata 50g - Maruka",herbaty,ADG-000759,KIMCHI-3692,historical_product_id_mapping,https://kimchi.pl/product-pol-3692.html,200,yes,no,no,AMBIENT,,,"Przechowywać w suchym i chłodnym miejscu, z dala od słońca oraz światła sztucznego.",AMBIENT,Japońska zielona herbata matcha 100%,,,,,,,,,,,,[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)[](https://kimchi.pl/tra-pol-1797-|Weganska.html)[](https://kimchi.pl/tra-pol-1798-|Bezglutenowa.html),Bez pszenicy|Bez cukru|Bez konserwantów|Bez nabiału|Kupująć ten produkt otrzymasz pkt.
review_candidate,496982df-0fc6-47e1-b236-5d77523372dd,matcha-iri-genmaicha-zielona-herbata-z-prazonym-ryzem-i-matcha-70g-maruka,"Matcha Iri Genmaicha, zielona herbata z prażonym ryżem i matchą 70g - Maruka",herbaty,ADG-000804,KIMCHI-3794,historical_product_id_mapping,https://kimchi.pl/product-pol-3794.html,200,yes,no,no,AMBIENT,,,Przechowywać w suchym i chłodnym miejscu.,AMBIENT,"Zielona herbata japońska liściasta, zielona herbata japońska sproszkowana Matcha, prażone ziarna ryżu",,,,,,,,,,,,[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)[](https://kimchi.pl/tra-pol-1797-|Weganska.html)[](https://kimchi.pl/tra-pol-1798-|Bezglutenowa.html),Bez pszenicy|Kupująć ten produkt otrzymasz pkt.
review_candidate,762e8c58-8152-4369-aeb0-f3bf39f653b2,bancha-zielona-herbata-z-poznego-zbioru-60g-maruka,"Bancha, zielona herbata z późnego zbioru 60g - Maruka",herbaty,ADG-000805,KIMCHI-3795,historical_product_id_mapping,https://kimchi.pl/product-pol-3795.html,200,yes,no,no,AMBIENT,,,Przechowywać w suchym i chłodnym miejscu.,AMBIENT,Zielona herbata japońska liściasta,,,,,,,,,,,,[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)[](https://kimchi.pl/tra-pol-1797-|Weganska.html)[](https://kimchi.pl/tra-pol-1798-|Bezglutenowa.html),Bez pszenicy|Kupująć ten produkt otrzymasz pkt.
review_candidate,c7abe525-3e07-46f7-ab8b-94a7159e4dd7,shizuoka-sencha-zielona-herbata-50g-maruka,"Shizuoka Sencha, zielona herbata 50g - Maruka",herbaty,ADG-000806,KIMCHI-3796,historical_product_id_mapping,https://kimchi.pl/product-pol-3796.html,200,yes,no,no,AMBIENT,,,"Po otwarciu opakowania, fukamushi sencha przykuwa wzrok intensywnym, ciemnozielonym kolorem i charakterystyczną wonią świeżej roślinności. Po zaparzeniu suszu otrzymamy napój o zielonej barwie i bogatym, wytrawnym smaku, łączącym w sobie dużą dozę umami, subtelną słodycz oraz odrobinę kwasowości. Niektórzy mówią, że kubeczek świeżo parzonej senchy smakuje jak esencja pachnących, wiosennych łąk, skąpanych w ciepłych promieniach słońca. Każdy łyk pogłębia uczucie spokoju i odprężenia, nakłaniając do chwili odpoczynku i zadumy, po których następuje przyjemne orzeźwienie. Na finiszu czeka zaś naturalny zastrzyk energii, który z pewnością wspomoże Cię w codziennych wyzwaniach.",AMBIENT,Zielona herbata japońska liściasta,,,,,,,,,,,,[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)[](https://kimchi.pl/tra-pol-1797-|Weganska.html)[](https://kimchi.pl/tra-pol-1798-|Bezglutenowa.html),Bez pszenicy|Kupująć ten produkt otrzymasz pkt.
review_candidate,f2898ff9-566c-4ead-a25b-6453d79f2419,hojicha-prazona-zielona-herbata-50g-maruka,"Hojicha, prażona zielona herbata 50g - Maruka",herbaty,ADG-000807,KIMCHI-3797,historical_product_id_mapping,https://kimchi.pl/product-pol-3797.html,200,yes,no,no,AMBIENT,,,Przechowywać w suchym i chłodnym miejscu.,AMBIENT,Zielona herbata japońska liściasta prażona,,,,,,,,,,,,[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)[](https://kimchi.pl/tra-pol-1797-|Weganska.html)[](https://kimchi.pl/tra-pol-1798-|Bezglutenowa.html),Bez pszenicy|Kupująć ten produkt otrzymasz pkt.
review_candidate,f56f94b1-eae2-4d98-a2ba-af814ce98dc1,herbata-z-zen-szenia-instant-10-x-2g-20g-meridian,Herbata z żeń-szenia instant (10 x 2g) 20g - Meridian,herbaty,ADG-000854,KIMCHI-3935,historical_product_id_mapping,https://kimchi.pl/product-pol-3935.html,200,yes,no,no,AMBIENT,,,Przechowywać w suchym i chłodnym miejscu.,AMBIENT,Granulowany sproszkowany korzeń Żeń-szenia koreańskiego,,,,,,,,,,,,[](https://kimchi.pl/tra-pol-1798-|Bezglutenowa.html)[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)[](https://kimchi.pl/tra-pol-1797-|Weganska.html),Bez pszenicy|Kupująć ten produkt otrzymasz pkt.
review_candidate,e7e3bf86-4cda-483e-9d85-177427a39ed0,sok-z-limonki-250ml-golden-turtle,Sok z limonki 250ml - Golden Turtle,napoje,ADG-000859,KIMCHI-3950,historical_product_id_mapping,https://kimchi.pl/product-pol-3950.html,200,yes,no,no,AMBIENT,,,Przechowywać w suchym i chłodnym miejscu. Po otwarciu przechowywać w lodówce.,AMBIENT,"Sok z limonki z koncentratu soku z limonki, olejek z limonki, substancja konserwująca: pirosiarczyn potasu (E224)",,,,,,,,,,,,[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)[](https://kimchi.pl/tra-pol-1797-|Weganska.html)[](https://kimchi.pl/tra-pol-1798-|Bezglutenowa.html),Bez pszenicy|Kupująć ten produkt otrzymasz pkt.
