severity,sku,name,product_url,category,stock_values,dietary_tags,allergens,issues
review,ADG-001744,"Nóż Tomoko Yanagi-Sashimi 20,5cm - Satake Cutlery",https://asiandeligo.eshoper.pro/products/noz-tomoko-yanagi-sashimi-20-5cm-satake-cutlery,Noże,0,,,out_of_stock
review,ADG-000426,Patelnia stalowa do tamagoyaki - duża (22 x 23 cm) Emro Aziatica,https://asiandeligo.eshoper.pro/products/patelnia-stalowa-do-tamagoyaki-duza-22-x-23-cm-emro-aziatica,Patelnie Tamago,0,,,out_of_stock
review,ADG-001423,"Zestaw do sushi żółto-brązowy, 6 elementów - Edo Japan",https://asiandeligo.eshoper.pro/products/zestaw-do-sushi-zolto-brazowy-6-elementow-edo-japan,Komplety do sushi i herbaty,0,,,out_of_stock
review,ADG-001551,Aloe CICA Waterproof Sunscreen SPF 50+ PA++++ Wodoodporny żel przeciwsłoneczny o działaniu kojącym i nawilżającym 100ml Holika Holika,https://asiandeligo.eshoper.pro/products/aloe-cica-waterproof-sunscreen-spf-50-pa-wodoodporny-zel-przeciwsloneczny-o-dzialaniu-kojacym-i-nawilzajacym-100ml,Koreańskie kosmetyki,0,,,out_of_stock
review,ADG-000637,"Płatki suszonego tuńczyka bonito, Katsuobushi 40g - Wadakyu",https://asiandeligo.eshoper.pro/products/platki-suszonego-tunczyka-bonito-katsuobushi-40g-wadakyu,Buliony,0,,fish,out_of_stock
review,ADG-001684,Ryż kleisty tajski Glutinous Rice 1kg - Golden Phoenix,https://asiandeligo.eshoper.pro/products/ryz-kleisty-tajski-glutinous-rice-1kg-golden-phoenix,Ryż i inne ziarna,0,,,out_of_stock
review,ADG-000946,Syrop koncentrat Mojito Zero cukru 600ml - Teisseire,https://asiandeligo.eshoper.pro/products/syrop-koncentrat-mojito-zero-cukru-600ml-teisseire,Napoje,0,,,out_of_stock
review,ADG-000201,"Syrop kukurydziany 100% 2,45kg - CJO Essential",https://asiandeligo.eshoper.pro/products/syrop-kukurydziany-100-2-45kg-cjo-essential,"Sosy, marynaty",0,,,out_of_stock
review,ADG-001314,Żelki Puré Gummy Muscat o smaku winogronowym 56g - Kanro,https://asiandeligo.eshoper.pro/products/zelki-pure-gummy-muscat-o-smaku-winogronowym-56g-kanro,Słodycze / Przekąski,0,,,out_of_stock
review,ADG-000671,"Zupa makaronowa Jin Ramen Veggie, lekko pikantna 110g - Ottogi",https://asiandeligo.eshoper.pro/products/zupa-makaronowa-jin-ramen-veggie-lekko-pikantna-110g-ottogi,Ramyun / Ramen,100,vegan|vegetarian,cereals|soybeans|sesame,vegetarian_ingredient_conflict_candidate|vegan_ingredient_conflict_candidate
review,ADG-000889,"Chrupki Zzaldduk o smaku ostrego kurczaka Buldak 2xSpicy, ostre 80g - Samyang",https://asiandeligo.eshoper.pro/products/chrupki-zzaldduk-o-smaku-ostrego-kurczaka-buldak-2xspicy-ostre-80g-samyang,Słodycze / Przekąski,0,,cereals|soybeans,out_of_stock
review,ADG-000725,"Makaron Konjac, fettuccine 20 x 270g (cały karton) - Asia Style",https://asiandeligo.eshoper.pro/products/makaron-konjac-fettuccine-20-x-270g-caly-karton-asia-style,Makaron konjac,0,,,out_of_stock
review,ADG-000144,Makaron ramen świeży  ITA-SAN 200g,https://asiandeligo.eshoper.pro/products/makaron-ramen-swiezy-ita-san-200g,Makaron pszenny,0,,cereals,out_of_stock
review,ADG-000885,Zestaw DIY Popin Cookin Choco Fondue Party 31g - Kracie,https://asiandeligo.eshoper.pro/products/zestaw-diy-popin-cookin-choco-fondue-party-31g-kracie,Słodycze / Przekąski,0,,eggs|soybeans|milk,out_of_stock
review,ADG-000502,"Zupa instant Shin Kimchi Ramyun, ostra - 5-pak (5 x 120g) Nongshim",https://asiandeligo.eshoper.pro/products/zupa-instant-shin-kimchi-ramyun-ostra-5-pak-5-x-120g-nongshim,Ramyun / Ramen,100,vegetarian,cereals|crustaceans|eggs|fish|peanuts|soybeans|milk|celery|mustard|sesame|molluscs,vegetarian_ingredient_conflict_candidate
review,ADG-000096,"Zupa instant Shin Kimchi Ramyun, ostra 120g Nongshim",https://asiandeligo.eshoper.pro/products/zupa-instant-shin-kimchi-ramyun-ostra-120g-nongshim,Ramyun / Ramen,100,vegetarian,cereals|crustaceans|eggs|fish|peanuts|soybeans|milk|celery|mustard|sesame|molluscs,vegetarian_ingredient_conflict_candidate
review,ADG-000672,"Zupa makaronowa Jin Ramen Veggie, lekko pikantna 4 x 110g - Ottogi",https://asiandeligo.eshoper.pro/products/zupa-makaronowa-jin-ramen-veggie-lekko-pikantna-4-x-110g-ottogi,Ramyun / Ramen,100,vegan|vegetarian,cereals|soybeans|sesame,vegetarian_ingredient_conflict_candidate|vegan_ingredient_conflict_candidate
review,ADG-001208,"Zupa makaronowa Shin Kimchi Ramyun, ostra 20 x 120g (cały karton) - Nongshim",https://asiandeligo.eshoper.pro/products/zupa-makaronowa-shin-kimchi-ramyun-ostra-20-x-120g-caly-karton-nongshim,Ramyun / Ramen,100,vegetarian,cereals|crustaceans|eggs|fish|peanuts|soybeans|milk|celery|mustard|sesame|molluscs,vegetarian_ingredient_conflict_candidate
review,ADG-000660,Curry Medium Hot - curry instant w proszku 1kg - Ottogi,https://asiandeligo.eshoper.pro/products/curry-medium-hot-curry-instant-w-proszku-1kg-ottogi,Dania gotowe,0,,cereals|soybeans|milk,out_of_stock
review,ADG-001639,Danie Tangle makaron z kremowym sosem bulgogi 105g - Samyang,https://asiandeligo.eshoper.pro/products/danie-tangle-makaron-z-kremowym-sosem-bulgogi-105g-samyang,Ramyun / Ramen,0,,cereals|soybeans|celery,out_of_stock
review,ADG-001191,"Dried Soy Stick Beef Flavor, wegetariańskie szaszłyki na ostro z suszonego tofu o smaku wołowiny shaokao 60g - Joytofu XiangXiangZui",https://asiandeligo.eshoper.pro/products/dried-soy-stick-beef-flavor-wegetarianskie-szaszlyki-na-ostro-z-suszonego-tofu-o-smaku-wolowiny-shaokao-60g-joytofu,Dania gotowe,100,vegetarian,cereals|soybeans|nuts,vegetarian_ingredient_conflict_candidate
review,ADG-001054,Fermentowane tofu (hong furu) w czerwonym różanym sosie 340g - Wangzhihe,https://asiandeligo.eshoper.pro/products/fermentowane-tofu-hong-furu-w-czerwonym-rozanym-sosie-340g-wangzhihe,"Sosy, marynaty",0,,cereals|soybeans,out_of_stock
review,ADG-000393,Ryż basmati 5kg - Laila,https://asiandeligo.eshoper.pro/products/ryz-basmati-5kg-laila,Unmapped,100,,,invalid_ean
review,ADG-000647,"Sos Teriyaki, japońska marynata 1L - Sen Soy",https://asiandeligo.eshoper.pro/products/sos-teriyaki-japonska-marynata-1l-sen-soy,"Sosy, marynaty",0,,cereals|soybeans,out_of_stock
review,ADG-000820,Zupa instant o smaku warzywnym z makaronem ryżowym 55g - MAMA,https://asiandeligo.eshoper.pro/products/zupa-instant-o-smaku-warzywnym-z-makaronem-ryzowym-55g-mama,Ramyun / Ramen,100,vegetarian,soybeans|celery|mustard|sesame,vegetarian_ingredient_conflict_candidate
review,ADG-001165,Zupa makaronowa instant o smaku warzywnym 40 x 75g - Indomie,https://asiandeligo.eshoper.pro/products/zupa-makaronowa-instant-o-smaku-warzywnym-40-x-75g-indomie,Ramyun / Ramen,100,vegetarian,cereals|soybeans|celery,vegetarian_ingredient_conflict_candidate
review,ADG-001199,Zupa makaronowa instant o smaku warzywnym 5 x 75g - Indomie,https://asiandeligo.eshoper.pro/products/zupa-makaronowa-instant-o-smaku-warzywnym-5-x-75g-indomie,Ramyun / Ramen,100,vegetarian,cereals|soybeans|celery,vegetarian_ingredient_conflict_candidate
