field_key,source_table,source_column,product_id,product_image_id,product_code,legacy_kimchi_slug,product_slug,image_file,source_url,target_url,source_http_status,source_http_ok,source_content_type,source_content_length,notes
products:52b64270-4fda-4dd4-a73e-4afa081a651e:image_url,products,image_url,52b64270-4fda-4dd4-a73e-4afa081a651e,,ADG-000001,KIMCHI-7,zaprawa-do-sushi-200ml-house-of-asia,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-7/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000001/1.webp,200,true,image/webp,25500,
product_images:98a9ca2b-88bd-4de8-9313-911baabd6996:image_large_url,product_images,image_large_url,52b64270-4fda-4dd4-a73e-4afa081a651e,98a9ca2b-88bd-4de8-9313-911baabd6996,ADG-000001,KIMCHI-7,zaprawa-do-sushi-200ml-house-of-asia,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-7/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000001/1.webp,200,true,image/webp,25500,
products:ee7cf8bc-0e9d-4e95-980b-ca780f9856f5:image_url,products,image_url,ee7cf8bc-0e9d-4e95-980b-ca780f9856f5,,ADG-000002,KIMCHI-10,ryz-jasminowy-premium-thai-hom-mali-1kg-smart-chef,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-10/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000002/1.webp,200,true,image/webp,103348,
product_images:c8dc071c-9a38-465e-aa7f-cfc7c15779f2:image_large_url,product_images,image_large_url,ee7cf8bc-0e9d-4e95-980b-ca780f9856f5,c8dc071c-9a38-465e-aa7f-cfc7c15779f2,ADG-000002,KIMCHI-10,ryz-jasminowy-premium-thai-hom-mali-1kg-smart-chef,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-10/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000002/1.webp,200,true,image/webp,103348,
products:6a24dfed-39ae-4c6d-9393-9b0eed738f5b:image_url,products,image_url,6a24dfed-39ae-4c6d-9393-9b0eed738f5b,,ADG-000003,KIMCHI-12,ocet-z-brazowego-ryzu-500ml-ottogi,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-12/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000003/1.webp,200,true,image/webp,28890,
product_images:814eb54e-32d6-4190-a55f-fd77cf02cbde:image_large_url,product_images,image_large_url,6a24dfed-39ae-4c6d-9393-9b0eed738f5b,814eb54e-32d6-4190-a55f-fd77cf02cbde,ADG-000003,KIMCHI-12,ocet-z-brazowego-ryzu-500ml-ottogi,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-12/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000003/1.webp,200,true,image/webp,28890,
products:25a2c3c5-267e-41f7-9a00-a66d22c9407a:image_url,products,image_url,25a2c3c5-267e-41f7-9a00-a66d22c9407a,,ADG-000004,KIMCHI-14,algi-nori-do-sushi-6-listkow-house-of-asia,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-14/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000004/1.webp,200,true,image/webp,68258,
product_images:d717123f-3125-4901-81b0-77a49e150d66:image_large_url,product_images,image_large_url,25a2c3c5-267e-41f7-9a00-a66d22c9407a,d717123f-3125-4901-81b0-77a49e150d66,ADG-000004,KIMCHI-14,algi-nori-do-sushi-6-listkow-house-of-asia,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-14/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000004/1.webp,200,true,image/webp,68258,
products:68d2a6ce-084e-4d36-89dc-b3f1b09b08c5:image_url,products,image_url,68d2a6ce-084e-4d36-89dc-b3f1b09b08c5,,ADG-000005,KIMCHI-15,papier-ryzowy-okragly-100g-house-of-asia,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-15/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000005/1.webp,200,true,image/webp,81574,
product_images:106d2a24-21e3-4fa7-ba34-e8c32ad7edaa:image_large_url,product_images,image_large_url,68d2a6ce-084e-4d36-89dc-b3f1b09b08c5,106d2a24-21e3-4fa7-ba34-e8c32ad7edaa,ADG-000005,KIMCHI-15,papier-ryzowy-okragly-100g-house-of-asia,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-15/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000005/1.webp,200,true,image/webp,81574,
