review_id,draft_sku,image_order_for_sku,image_file,source_image_path,proposed_media_key
folder14-001,ADG-001792,1,PETE7343.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE7343.JPG,owner-images/folder14/ADG-001792/01-PETE7343.JPG
folder14-001,ADG-001792,2,PETE7660.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE7660.JPG,owner-images/folder14/ADG-001792/02-PETE7660.JPG
folder14-001,ADG-001792,3,PETE7661.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE7661.JPG,owner-images/folder14/ADG-001792/03-PETE7661.JPG
folder14-001,ADG-001792,4,PETE7662.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE7662.JPG,owner-images/folder14/ADG-001792/04-PETE7662.JPG
folder14-002,ADG-001793,1,PETE7879.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE7879.JPG,owner-images/folder14/ADG-001793/01-PETE7879.JPG
folder14-003,ADG-001794,1,PETE7759.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE7759.JPG,owner-images/folder14/ADG-001794/01-PETE7759.JPG
folder14-003,ADG-001794,2,PETE7760.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE7760.JPG,owner-images/folder14/ADG-001794/02-PETE7760.JPG
folder14-004,ADG-001795,1,PETE8028.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8028.JPG,owner-images/folder14/ADG-001795/01-PETE8028.JPG
folder14-004,ADG-001795,2,PETE8030.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8030.JPG,owner-images/folder14/ADG-001795/02-PETE8030.JPG
folder14-004,ADG-001795,3,PETE8031.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8031.JPG,owner-images/folder14/ADG-001795/03-PETE8031.JPG
folder14-005,ADG-001796,1,PETE8032.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8032.JPG,owner-images/folder14/ADG-001796/01-PETE8032.JPG
folder14-006,ADG-001797,1,PETE8037.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8037.JPG,owner-images/folder14/ADG-001797/01-PETE8037.JPG
folder14-007,ADG-001798,1,PETE8040.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8040.JPG,owner-images/folder14/ADG-001798/01-PETE8040.JPG
folder14-008,ADG-001799,1,PETE8045.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8045.JPG,owner-images/folder14/ADG-001799/01-PETE8045.JPG
folder14-009,ADG-001800,1,PETE8049.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8049.JPG,owner-images/folder14/ADG-001800/01-PETE8049.JPG
folder14-009,ADG-001800,2,PETE8074.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8074.JPG,owner-images/folder14/ADG-001800/02-PETE8074.JPG
folder14-010,ADG-001801,1,PETE8050.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8050.JPG,owner-images/folder14/ADG-001801/01-PETE8050.JPG
folder14-011,ADG-001802,1,PETE8053.JPG,/tmp/asiandeligo-owner-images/folder14-batch001/extracted/PETE8053.JPG,owner-images/folder14/ADG-001802/01-PETE8053.JPG
