source_batch,status,review_id,files,local_files,visible_product,target_sku,candidate_product,confidence,product_url,reason,next_action
batch001,create_new_confirm,folder03-001,PETE6847.JPG; PETE6848.JPG; PETE6849.JPG; PETE6850.JPG,/tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6847.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6848.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6849.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6850.JPG,"Duy Anh Yellow Corn Starch Rice Vermicelli, 200g",,,create_new,,No exact Duy Anh/corn-starch vermicelli row found in production catalog.,"Create after owner confirms final PL/EN name, EAN, price, category, allergens and storage."
batch001,create_new_confirm,folder03-002,PETE6851.JPG; PETE6852.JPG; PETE6853.JPG,/tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6851.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6852.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6853.JPG,"Hiep Long Dac San Mien Moc / makaron platki z taro 7mm, 500g",,,create_new,,"Hiep Long exists in catalog, but no exact taro 7mm 500g row found.",Create after owner confirms final name and whether this is taro/cassava noodle.
batch001,review_high_existing_sku,folder03-003,PETE6867.JPG; PETE6868.JPG; PETE6869.JPG; PETE6870.JPG,/tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6867.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6868.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6869.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6870.JPG,"LongKou Vermicelli bean thread / saifun, 100g",ADG-000017,Makaron sojowy Vermicelli 100g LongKou,high,https://asiandeligo.eshoper.pro/products/makaron-sojowy-vermicelli-100g-longkou,Visible brand/product/weight match catalog row.,Candidate for existing SKU image review; do not apply until owner/user accepts.
batch001,create_new_confirm,folder03-004,PETE6987.JPG; PETE6988.JPG; PETE6989.JPG,/tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6987.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6988.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6989.JPG,"Farmer Brand Rice Flakes Sheet, 227g",,,create_new,,No exact Farmer rice-flakes 227g row found in production catalog.,Create after owner confirms final name/category.
batch001,review_high_existing_sku,folder03-005,PETE6994.JPG; PETE6995.JPG; PETE6996.JPG,/tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6994.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6995.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6996.JPG,"Farmer Brand Rice Vermicelli, 454g",ADG-000014,"Makaron ryzowy Vermicelli, nitki 454g Farmer",high,https://asiandeligo.eshoper.pro/products/makaron-ryzowy-vermicelli-nitki-454g-farmer,Visible brand/product/weight match catalog row.,Candidate for existing SKU image review; do not apply until owner/user accepts.
batch001,create_new_confirm,folder03-006,PETE6997.JPG; PETE6998.JPG; PETE6999.JPG; PETE7000.JPG,/tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6997.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6998.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE6999.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE7000.JPG,"Golden Swallow Brand Kong Moon Rice Stick, 500g",,,create_new,,No exact Golden Swallow/Kong Moon rice stick 500g row found in production catalog.,"Create after owner confirms final name, EAN and size/category."
batch001,create_new_confirm,folder03-007,PETE7001.JPG; PETE7002.JPG,/tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE7001.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE7002.JPG,"Chantaboon Rice Stick size 10mm XL, 375g",,,create_new,,"Catalog has similar 10mm rice noodles from Farmer/Asia Kitchen, but brand/weight differ.",Create after owner confirms final brand and EAN.
batch001,create_new_confirm,folder03-008,PETE7052.JPG,/tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE7052.JPG,"Green Bean Vermicelli / Feuille De Soja, 250g",,,create_new,,No exact green bean vermicelli 250g row found in production catalog.,Create after owner confirms brand/import label and final display name.
batch001,review_high_existing_sku,folder03-009,PETE7053.JPG; PETE7054.JPG,/tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE7053.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE7054.JPG,"Hiep Long Banh Da Do / red rice noodle, 500g",ADG-000174,Makaron ryzowy czerwony Hiep Long 500g,high,https://asiandeligo.eshoper.pro/products/makaron-ryzowy-czerwony-hiep-long-500g,Visible Hiep Long Banh Da Do 500g matches catalog red rice noodle row.,Candidate for existing SKU image review; do not apply until owner/user accepts.
batch001,create_new_confirm,folder03-010,PETE7134.JPG; PETE7135.JPG,/tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE7134.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE7135.JPG,"Wai Wai Rice Vermicelli 0.5mm, 400g",,,create_new,,"Catalog has ICV Bun Gao 400g, but brand/product differ; no exact Wai Wai row found.",Create after owner confirms final name/EAN.
batch001,review_high_existing_sku,folder03-011,PETE7275.JPG; PETE7276.JPG; PETE7277.JPG; PETE7278.JPG,/tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE7275.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE7276.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE7277.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE7278.JPG,"LongKou Vermicelli bean thread, 1kg",ADG-000280,"Makaron sojowy vermicelli LongKou 1kg, porcjowany 20 x 50g",high,https://asiandeligo.eshoper.pro/products/makaron-sojowy-vermicelli-longkou-1kg-porcjowany-20-x-50g,Visible LongKou vermicelli 1000g matches catalog 1kg row.,Candidate for existing SKU image review; do not apply until owner/user accepts.
batch001,create_new_confirm,folder03-012,PETE7279.JPG; PETE7280.JPG,/tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE7279.JPG; /tmp/asiandeligo-owner-images/folder03-batch001/extracted/PETE7280.JPG,"Golden Lotus Chinese Style Thick Quick Cooking Noodles, 375g",,,create_new,,Catalog has Golden Turtle/Long Life noodles but no exact Golden Lotus 375g row.,Create after owner confirms final name/category.
