source_batch,status,review_id,files,local_files,visible_product,target_sku,candidate_product,confidence,product_url,reason,next_action
folder06-batch001,create_new_confirm,folder06-001,"PETE7816.JPG; PETE7817.JPG; PETE9023.JPG","/tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE7816.JPG; /tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE7817.JPG; /tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE9023.JPG","Vifon Vietnamese Style Instant Rice Noodles Pho Ga chicken flavour 65g",,,create_new,,"Catalog has MAMA Pho Ga 65g, but this owner image is Vifon brand, so it must not be mapped to the MAMA row.","Create new SKU after confirming EAN and price."
folder06-batch001,create_new_confirm,folder06-002,"PETE7818.JPG; PETE9024.JPG","/tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE7818.JPG; /tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE9024.JPG","Vifon Vietnamese Style Instant Rice Noodles Pho Bo beef flavour 65g",,,create_new,,"Catalog has MAMA Pho Bo 65g, but this owner image is Vifon brand, so it must not be mapped to the MAMA row.","Create new SKU after confirming EAN and price."
folder06-batch001,review_high_existing_sku,folder06-003,PETE7819.JPG,/tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE7819.JPG,"MAMA Oriental Style Instant Noodles Shrimp Flavour Tom Yum 60g",ADG-000320,"Zupa Tom Yum krewetkowa 60g - MAMA",high,https://asiandeligo.eshoper.pro/products/zupa-tom-yum-krewetkowa-60g-mama,"Brand, Tom Yum shrimp flavour, and 60g size match the existing catalog row.","If accepted, import this owner image to ADG-000320."
folder06-batch001,create_new_confirm,folder06-004,"PETE7820.JPG; PETE9011.JPG; PETE9012.JPG","/tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE7820.JPG; /tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE9011.JPG; /tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE9012.JPG","Paldo Jang Ramyun Soy Flavor Noodle 5 x 120g",,,create_new,,"Catalog has a different Paldo soy/chicken spicy row at 4 x 130g; this is Jang Ramyun soy flavour 5 x 120g.","Create new SKU after confirming EAN and price."
folder06-batch001,review_high_existing_sku,folder06-005,"PETE7821.JPG; PETE9016.JPG","/tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE7821.JPG; /tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE9016.JPG","Paldo Jjajang Men Chajang Noodle 4 x 200g",ADG-001297,"Jjajang Men, makaron z sosem z czarnej fasoli 4 x 200g - Paldo",high,https://asiandeligo.eshoper.pro/products/jjajang-men-makaron-z-sosem-z-czarnej-fasoli-4-x-200g-paldo,"Brand, product family, and 4 x 200g pack size match the existing catalog row.","If accepted, import these owner images to ADG-001297."
folder06-batch001,create_new_confirm,folder06-006,"PETE7822.JPG; PETE7823.JPG; PETE9017.JPG","/tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE7822.JPG; /tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE7823.JPG; /tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE9017.JPG","Paldo Hwa Ramyun Hot & Spicy 5 x 120g",,,create_new,,"No exact Paldo Hwa Ramyun 5 x 120g row found in the catalog export.","Create new SKU after confirming EAN and price."
folder06-batch001,create_new_confirm,folder06-007,"PETE7824.JPG; PETE9022.JPG","/tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE7824.JPG; /tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE9022.JPG","Paldo King Noodle Grande Format Kimchi Flavor cup",,,create_new,,"No exact Paldo King Noodle kimchi cup row found in the catalog export.","Create new SKU after confirming cup size/EAN and price."
folder06-batch001,create_new_confirm,folder06-008,"PETE7825.JPG; PETE9020.JPG","/tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE7825.JPG; /tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE9020.JPG","Paldo King Noodle Grande Format Hwa hot and spicy cup",,,create_new,,"No exact Paldo King Noodle Hwa hot and spicy cup row found in the catalog export.","Create new SKU after confirming cup size/EAN and price."
folder06-batch001,create_new_confirm,folder06-009,"PETE7826.JPG; PETE7827.JPG","/tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE7826.JPG; /tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE7827.JPG","Kailo Brand Instant Noodles Seafood Flavour cup 120g",,,create_new,,"No exact Kailo Brand seafood cup 120g row found in the catalog export.","Create new SKU after confirming EAN and price."
folder06-batch001,create_new_confirm,folder06-010,"PETE7828.JPG; PETE7829.JPG; PETE9018.JPG; PETE9019.JPG","/tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE7828.JPG; /tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE7829.JPG; /tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE9018.JPG; /tmp/asiandeligo-owner-images/folder06-batch001/extracted/PETE9019.JPG","Paldo King Noodle Grande Format Seafood Flavor spicy cup",,,create_new,,"No exact Paldo King Noodle seafood cup row found in the catalog export; do not merge with Paldo Ilpoom seafood pack.","Create new SKU after confirming cup size/EAN and price."
