"source_batch","status","review_id","files","local_files","visible_product","target_sku","candidate_product","confidence","product_url","reason","next_action"
"folder10-batch002","create_new_confirm","folder10-036","PETE7283.JPG","/tmp/asiandeligo-owner-images/folder10-batch002/extracted/PETE7283.JPG","Thai Sauce Brand Nam Prik Pao Chilli Paste with Soya Bean Oil, foodservice jar 3kg","","","create_new","","No exact Thai Sauce Brand 3kg Nam Prik Pao row found in the catalog export. Existing Mae Pranom Nam Prik Pao rows are different brand and smaller sizes.","Create new SKU only after owner confirms EAN and price."
"folder10-batch002","create_new_confirm","folder10-037","PETE7299.JPG","/tmp/asiandeligo-owner-images/folder10-batch002/extracted/PETE7299.JPG","Lee Kum Kee Char Siu Sauce 397g","","","create_new","","No Char Siu Sauce row found in the catalog export. Other Lee Kum Kee sauces exist but not this product.","Create new SKU after confirming EAN and price."
"folder10-batch002","create_new_confirm","folder10-038","PETE7300.JPG","/tmp/asiandeligo-owner-images/folder10-batch002/extracted/PETE7300.JPG","Lee Kum Kee Spare Rib Sauce 397g","","","create_new","","No Spare Rib Sauce row found in the catalog export. Other Lee Kum Kee sauces exist but not this product.","Create new SKU after confirming EAN and price."
"folder10-batch002","review_high_existing_sku","folder10-039","PETE7303.JPG","/tmp/asiandeligo-owner-images/folder10-batch002/extracted/PETE7303.JPG","Lee Kum Kee Hoisin Sauce 397g","ADG-000082","Sos Hoisin 397g - Lee Kum Kee","high","https://asiandeligo.eshoper.pro/products/sos-hoisin-397g-lee-kum-kee","Exact brand, product and 397g size match existing SKU ADG-000082.","Attach this owner photo to the existing SKU if approved."
"folder10-batch002","create_new_confirm","folder10-040","PETE7305.JPG","/tmp/asiandeligo-owner-images/folder10-batch002/extracted/PETE7305.JPG","Lee Kum Kee Plum Sauce 397g","","","create_new","","No Lee Kum Kee Plum Sauce row found in the catalog export. Plum search results are unrelated drinks, sweets or syrups.","Create new SKU after confirming EAN and price."
"folder10-batch002","review_high_existing_sku","folder10-041","PETE7306.JPG","/tmp/asiandeligo-owner-images/folder10-batch002/extracted/PETE7306.JPG","Lee Kum Kee Black Bean Garlic Sauce 368g","ADG-000151","Sos z czarnej fasoli z czosnkiem 368g - Lee Kum Kee","high","https://asiandeligo.eshoper.pro/products/sos-z-czarnej-fasoli-z-czosnkiem-368g-lee-kum-kee","Exact brand, product and 368g size match existing SKU ADG-000151.","Attach this owner photo to the existing SKU if approved."
"folder10-batch002","review_high_existing_sku","folder10-042","PETE7309.JPG","/tmp/asiandeligo-owner-images/folder10-batch002/extracted/PETE7309.JPG","Lee Kum Kee Chilli Garlic Sauce 368g","ADG-000309","Sos chili z czosnkiem, pikantny 368g - Lee Kum Kee","high","https://asiandeligo.eshoper.pro/products/sos-chili-z-czosnkiem-pikantny-368g-lee-kum-kee","Exact brand, product and 368g size match existing SKU ADG-000309. Same SKU also appeared in folder10-batch001 as another owner photo.","Attach as additional gallery photo if approved."
"folder10-batch002","hold_confirm","folder10-043","PETE7353.JPG","/tmp/asiandeligo-owner-images/folder10-batch002/extracted/PETE7353.JPG","Mae Krua Oyster Sauce foodservice jug, exact net size not readable","","","hold","","The front photo shows Mae Krua Oyster Sauce but the exact net volume or weight is not readable. Existing Mae Krua rows are 150ml, 300ml and 600ml, so this must not be merged by guesswork.","Owner to confirm exact size, EAN and whether it should be sold online before creating."
"folder10-batch002","create_new_confirm","folder10-044","PETE7362.JPG","/tmp/asiandeligo-owner-images/folder10-batch002/extracted/PETE7362.JPG","Golden Lotus Mei Wei Oyster Flavoured Sauce 2268g / 5lb","","","create_new","","No exact Golden Lotus oyster flavoured sauce 2268g row found in the catalog export.","Create new SKU after confirming EAN and price."
"folder10-batch002","hold_confirm","folder10-045","PETE7635.JPG","/tmp/asiandeligo-owner-images/folder10-batch002/extracted/PETE7635.JPG","Vietnamese Dau Me Thom sesame oil bottle, exact brand and volume unclear","","","hold","","The label indicates pure sesame oil but the exact brand and net volume are not readable enough. Catalog has many sesame oil rows, so unsafe matching risk is high.","Owner to confirm brand, exact volume and EAN before creating or matching."
