decision,id,slug,name,category,firstSku,sourceLegacyId,sourceResolution,sourceUrl,sourceStatus,currentIngredientsPresent,currentAllergensPresent,currentNutritionPresent,currentStorageZone,rawAllergenWarning,candidateAllergens,rawStorageText,candidateStorageZone,rawIngredients,nutritionServingSize,nutritionCaloriesKcal,nutritionEnergyKj,nutritionFat,nutritionSaturatedFat,nutritionCarbs,nutritionSugar,nutritionFiber,nutritionProtein,nutritionSalt,nutritionRaw,dietTraits,productTraits
review_candidate,1e99d371-8e7d-484c-83d9-f83d5fb13ba2,trawa-cytrynowa-suszona-w-kawalkach-50g,Trawa cytrynowa suszona w kawałkach 50g,przyprawy,ADG-000118,KIMCHI-436,historical_product_id_mapping,https://kimchi.pl/product-pol-436.html,200,yes,no,no,,,,,,100% suszonej trawy cytrynowej Importer Nazwa firmy PANASIA POLSKA SP. Z O. O. Adres ul. Sochaczewska 108 05-850 Macierzysz,,,,,,,,,,,,,
review_candidate,9a81adc5-a8cb-43ad-92b9-0f633c0afd1c,sos-hoisin-455ml-flying-goose,Sos Hoisin 455ml - Flying Goose,sosy-marynaty-oleje,ADG-000193,KIMCHI-808,historical_product_id_mapping,https://kimchi.pl/product-pol-808.html,200,yes,no,no,,,,,,"* 350 g krewetek, * 1 łyżka startego czosnku, * 1/2 zielonej papryki, pokrojonej w kostkę * 1/2 czerwonej papryki, pokrojonej w kostkę * 2 łyżki sosu Hoisin, * 1 łyżka sosu ostrygowego Sposób przygotowania: Na rozgrzaną patelnię wrzucamy krewetki oraz czosnek i smażymy przez dwie minuty. Następnie dodajemy pokrojoną paprykę, sos Hoisin i sos ostrygowy i smażymy przez kolejną minutę. Smacznego! * * * Produkt może zawierać śladowe ilości orzeszków ziemnych. Kraj pochodzenia: Tajlandia Pełny skład Woda, cukier, pasta sojowa 12%, sól, ocet spirytusowy, skrobia kukurydziana, czosnek, barwnik: E150; olej sezamowy, anyż, substancja konserwująca E202",w 100g/100ml,238,1011,1.9,0.3,53,49,,2.3,7.8,"(w 100g/100ml)
Wartość energetyczna
1011kJ/238kcal
Tłuszcze
1,9g
Węglowodany
53g
*w tym cukry
49g
Białko
2,3g
Sól
7,8g
*w tym kwasy tłuszczowe nasycone 0,3g
Importer
Nazwa firmy
Heuschen & Schrouff OFT B.V.
Adres
Sperwerweg 1, 6374 AG Landgraaf, The Netherlands",,
review_candidate,1d7b9985-bc5b-4994-83e5-e4704b70f260,ocet-z-brazowego-ryzu-900ml-cjo-essential,Ocet z brązowego ryżu 900ml - CJO Essential,octy-i-winne-przyprawy,ADG-000211,KIMCHI-863,historical_product_id_mapping,https://kimchi.pl/product-pol-863.html,200,yes,no,no,,,,,,"Woda (48%), ocet z ziaren ryżu, ektrakty z brązowego ryżu, syrop kukurydziany, izomalto-oligosacharidy, kwasek cytrynowy, aromat jabłkowy Importer Nazwa firmy PANASIA POLSKA SP. Z O. O. Adres ul. Sochaczewska 108 05-850 Macierzysz",,,,,,,,,,,,,
review_candidate,8166c9ea-669f-4330-96f6-b00b98c8812b,mieszanka-przypraw-do-zupy-pho-anyz-cynamon-kardamon-100g-hiep-long,"Mieszanka przypraw do zupy Pho - anyż, cynamon, kardamon 100g - Hiep Long",przyprawy,ADG-000219,KIMCHI-901,historical_product_id_mapping,https://kimchi.pl/product-pol-901.html,200,yes,no,no,,,,,,"Anyż, cynamon, kardamon Importer Nazwa firmy ASIA-FOODS Sp. z o.o. Adres Ul. Dzwonkowa 8, 02-290 Warszawa",,,,,,,,,,,,,
review_candidate,7b2d6206-f0ec-4e73-b59c-6027f1ad4bae,suszone-liscie-limonki-kaffir-liscie-papedy-cale-25g-thai-dancer,"Suszone liście limonki kaffir, liście papedy całe 25g - Thai Dancer",przyprawy,ADG-000270,KIMCHI-1135,historical_product_id_mapping,https://kimchi.pl/product-pol-1135.html,200,yes,no,no,,,,"Wskazówka - Aby zachować pełnię właściwości produktu na długi czas, zalecamy przechowywać przyprawy w szczelnie zamykanym pojemniku.",,Suszone liście limonki kaffir 100%,,,,,,,,,,,,[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)[](https://kimchi.pl/tra-pol-1797-|Weganska.html)[](https://kimchi.pl/tra-pol-1798-|Bezglutenowa.html),Bez konserwantów|Kupująć ten produkt otrzymasz pkt.
review_candidate,9d96ed24-853b-428d-9e82-79520409a56c,sos-sojowy-o-zmniejszonej-zawartosci-soli-150ml-kikkoman,Sos sojowy o zmniejszonej zawartości soli 150ml - Kikkoman,sos-sojowy,ADG-000372,KIMCHI-1541,historical_product_id_mapping,https://kimchi.pl/product-pol-1541.html,200,yes,no,yes,,,,"Przechowywać w chłodnym, zacienionym miejscu.",AMBIENT,"Woda, ziarna soi, pszenica, sól, ocet, alkohol etylowy, cukier",w 100g/100ml,107,450,0,,6.9,3.9,,9.7,9.1,"(w 100g/100ml)
Wartość energetyczna
450kJ/107kcal
Tłuszcze
0g
Węglowodany
6,9g
*w tym cukry
3,9g
Białko
9,7g
Sól
9,1g",[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)[](https://kimchi.pl/tra-pol-1797-|Weganska.html)|Kupująć ten produkt otrzymasz pkt.,
review_candidate,53ea2d5e-70ce-4628-a83a-e30ccafff173,ocet-ryzowy-1l-asia-kitchen,Ocet ryżowy 1l - Asia Kitchen,octy-i-winne-przyprawy,ADG-000437,KIMCHI-2254,historical_product_id_mapping,https://kimchi.pl/product-pol-2254.html,200,yes,no,no,,,,,,"Woda, ryż 30%",,,,,,,,,,,,[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)[](https://kimchi.pl/tra-pol-1797-|Weganska.html)|Kupująć ten produkt otrzymasz pkt.,
review_candidate,1ac37bfa-e68d-4768-b780-2575f93a123a,glutaminian-sodu-aji-no-moto-msg-200g-ajinomoto,"Glutaminian sodu, Aji-no-Moto MSG 200g - Ajinomoto",przyprawy,ADG-000455,KIMCHI-2329,historical_product_id_mapping,https://kimchi.pl/product-pol-2329.html,200,yes,no,no,,,,,,Glutaminian monosodowy (E621). Czystość powyżej 99%. Do stosowania w umiarkowanych ilościach,,,,,,,,,,,,[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)[](https://kimchi.pl/tra-pol-1797-|Weganska.html)[](https://kimchi.pl/tra-pol-1798-|Bezglutenowa.html),Bez pszenicy|Kupująć ten produkt otrzymasz pkt.
review_candidate,91a4b6de-81e3-4c1a-9acc-536964cae9a5,glutaminian-sodu-aji-no-moto-msg-454g-ajinomoto,"Glutaminian sodu, Aji-no-Moto MSG 454g - Ajinomoto",przyprawy,ADG-000497,KIMCHI-2518,historical_product_id_mapping,https://kimchi.pl/product-pol-2518.html,200,yes,no,no,,,,,,Glutaminian monosodowy (E621). Czystość powyżej 99%.Do stosowania w umiarkowanych ilościach,,,,,,,,,,,,[](https://kimchi.pl/tra-pol-1796-|Wegetarianska.html)[](https://kimchi.pl/tra-pol-1797-|Weganska.html)[](https://kimchi.pl/tra-pol-1798-|Bezglutenowa.html),Bez pszenicy|Kupująć ten produkt otrzymasz pkt.
review_candidate,570c6a24-2464-491f-ad48-f22b9a5ed7a4,koreanski-sos-rybny-do-kimchi-kanari-jeot-800g-yakmokcham,Koreański sos rybny do kimchi Kanari Jeot 800g - YakMokCham,sosy-marynaty,ADG-001241,KIMCHI-4974,historical_product_id_mapping,https://kimchi.pl/product-pol-4974.html,200,yes,no,no,,,,Po zalogowaniu możesz umieścić i przechowywać na liście zakupowej dowolną liczbę produktów nieskończenie długo.,,,,,,,,,,,,,,,
