id,current_slug,new_code,new_slug,name_pl,name_en,category_name,primary_category_name,ean_standard,slug_collision_group,notes
52b64270-4fda-4dd4-a73e-4afa081a651e,KIMCHI-7,ADG-000001,zaprawa-do-sushi-200ml-house-of-asia,Zaprawa do sushi 200ml House of Asia,Sushi Seasoning 200ml - House of Asia,Octy i winne przyprawy,Octy i winne przyprawy,,,missing_ean_standard
ee7cf8bc-0e9d-4e95-980b-ca780f9856f5,KIMCHI-10,ADG-000002,ryz-jasminowy-premium-thai-hom-mali-1kg-smart-chef,Ryż jaśminowy Premium Thai Hom Mali 1kg Smart Chef,Premium Thai Hom Mali Jasmine Rice 1kg - Smart Chef,Ryż i inne ziarna,Ryż i inne ziarna,,,missing_ean_standard
6a24dfed-39ae-4c6d-9393-9b0eed738f5b,KIMCHI-12,ADG-000003,ocet-z-brazowego-ryzu-500ml-ottogi,Ocet z brązowego ryżu 500ml Ottogi,Brown Rice Vinegar 500ml - Ottogi,Octy i winne przyprawy,Octy i winne przyprawy,,,missing_ean_standard
25a2c3c5-267e-41f7-9a00-a66d22c9407a,KIMCHI-14,ADG-000004,algi-nori-do-sushi-6-listkow-house-of-asia,"Algi nori do sushi, 6 listków - House of Asia","Nori Seaweed for Sushi, 6 Sheets - House of Asia",Arkusze Nori / Gim,Arkusze Nori / Gim,,,missing_ean_standard
68d2a6ce-084e-4d36-89dc-b3f1b09b08c5,KIMCHI-15,ADG-000005,papier-ryzowy-okragly-100g-house-of-asia,Papier ryżowy okrągły 100g - House of Asia,Round Rice Paper 100g - House of Asia,Papier ryżowy,Papier ryżowy,,,missing_ean_standard
c0db8c63-43cc-4dcb-a508-91c5ab7f76ac,KIMCHI-20,ADG-000006,wasabi-w-proszku-1kg-inaka,Wasabi w proszku 1kg Inaka,Wasabi powder 1kg Inaka,Wasabi,Wasabi,,,missing_ean_standard
5e998261-e707-4402-8569-8108eaaa3fea,KIMCHI-22,ADG-000007,sos-sojowy-koikuchi-naturalnie-warzony-500ml-yamasa,"Sos sojowy Koikuchi, naturalnie warzony 500ml Yamasa","Koikuchi Soy Sauce, Naturally Brewed 500ml - Yamasa",Sos sojowy,Sos sojowy,,,missing_ean_standard
b9955ac8-56d2-4189-aa41-c4049e72cd08,KIMCHI-24,ADG-000008,sos-sojowy-koikuchi-dyspenser-150ml-yamasa,"Sos sojowy Koikuchi, dyspenser 150ml Yamasa","Koikuchi Soy Sauce, Dispenser 150ml - Yamasa",Sos sojowy,Sos sojowy,,,missing_ean_standard
0771cceb-b817-4c21-917d-00950847e95a,KIMCHI-27,ADG-000009,pasta-wasabi-w-tubce-43g-s-and-b,Pasta wasabi w tubce 43g S&B,Wasabi Paste in Tube 43g - S&B,Wasabi,Wasabi,,,missing_ean_standard
5797bd74-d97b-4432-973e-38cd1701a3be,KIMCHI-29,ADG-000010,paleczki-bambusowe-21cm-w-kopertach-50-par,Pałeczki bambusowe 21cm w kopertach - 50 par,,Pałeczki i sztućce,Pałeczki i sztućce,,,missing_ean_standard
e4e1e936-ba74-4c40-a06a-ce9630d9fbca,KIMCHI-31,ADG-000011,paleczki-bambusowe-21cm-w-kopertach-100-par,Pałeczki bambusowe 21cm w kopertach 100 par,Bamboo chopsticks 21cm in wrappers 100 pairs,Pałeczki i sztućce,Pałeczki i sztućce,,,missing_ean_standard
557bf303-22f4-415e-8d0a-daa0ab29dfdd,KIMCHI-35,ADG-000012,sos-marynata-teriyaki-300ml-yamasa,"Sos, marynata Teriyaki 300ml - Yamasa",Teriyaki Sauce 300ml - Yamasa,"Sosy, marynaty","Sosy, marynaty",,,missing_ean_standard
fcb4e219-4932-4bf0-8774-4e1e0b481849,KIMCHI-38,ADG-000013,makaron-ryzowy-lami-m-do-pho-500g-hiep-long,Makaron ryżowy LaMi M do Pho 500g Hiep Long,Rice Noodles LaMi for Pho 500g Hiep Long,Makaron ryżowy,Makaron ryżowy,,,missing_ean_standard
33b0bd6b-b697-4b01-ad4d-405380eda556,KIMCHI-39,ADG-000014,makaron-ryzowy-vermicelli-nitki-454g-farmer,"Makaron ryżowy Vermicelli, nitki 454g Farmer",Vermicelli Rice Noodles 454g Farmer,Makaron ryżowy,Makaron ryżowy,,,missing_ean_standard
546df607-902a-4a38-b5d6-d0c74d422289,KIMCHI-40,ADG-000015,makaron-ryzowy-do-dania-bun-cha-500g-hiep-long,Makaron ryżowy do dania Bun Cha 500g Hiep Long,Rice Noodles for Bun Cha 500g Hiep Long,Makaron ryżowy,Makaron ryżowy,,,missing_ean_standard
1fdfd24b-9a0f-466d-9334-2efff41e094b,KIMCHI-41,ADG-000016,makaron-pszenny-chow-mien-200g-bali-kitchen,Makaron pszenny Chow Mien 200g Bali Kitchen,Wheat Noodles Chow Mien 200g - Bali Kitchen,Makaron pszenny,Makaron pszenny,,,missing_ean_standard
45f89ee5-d0fc-4d94-bc3b-814ff8d9bc6f,KIMCHI-42,ADG-000017,makaron-sojowy-vermicelli-100g-longkou,Makaron sojowy Vermicelli 100g LongKou,Soy Vermicelli Noodles 100g LongKou,Makaron szklisty,Makaron szklisty,,,missing_ean_standard
f08d64cc-84e1-48c4-9fd7-7ecc88425ed0,KIMCHI-50,ADG-000018,wakame-suszone-wodorosty-100g-nobi,"Wakame, suszone wodorosty 100g Nobi","Wakame, dried seaweed 100g Nobi",Wakame / Miyeok,Wakame / Miyeok,,,missing_ean_standard
7b815bb4-d6c3-40db-bb53-a1f64b4c6dee,KIMCHI-59,ADG-000019,matcha-sproszkowana-zielona-herbata-w-puszce-80g-tian-hu-shan,"Matcha, sproszkowana zielona herbata w puszce 80g Tian Hu Shan","Matcha, Powdered Green Tea in Can 80g Tian Hu Shan",Herbaty,Herbaty,,,missing_ean_standard
f893ac83-94ec-450c-bc1a-d13227650c9a,KIMCHI-65,ADG-000020,pedy-bambusa-paseczki-225g-house-of-asia,"Pędy bambusa, paseczki 225g House of Asia","Bamboo Shoots, Strips 225g - House of Asia",Owoce / Marynowane warzywa,Owoce / Marynowane warzywa,,,missing_ean_standard
6281084e-5e2a-4935-81b5-e47d3e944d9f,KIMCHI-68,ADG-000021,tempura-miks-do-smazenia-1kg-ottogi,"Tempura, miks do smażenia 1kg Ottogi",Tempura Frying Mix 1kg - Ottogi,Mąki / Panierki / Tapioka,Mąki / Panierki / Tapioka,,,missing_ean_standard
a105a088-e5ad-4ee6-b674-90ff5aaa97eb,KIMCHI-70,ADG-000022,wasabi-w-proszku-100g-asia-kitchen,Wasabi w proszku 100g Asia Kitchen,Wasabi powder 100g Asia Kitchen,Wasabi,Wasabi,,,missing_ean_standard
9f0b88dd-4b9d-4844-897a-9e9303511076,KIMCHI-72,ADG-000023,rzodkiew-oshinko-takuan-marynowana-cala-500g,"Rzodkiew Oshinko / Takuan marynowana, cała 500g","Oshinko / Takuan Marinated Radish, Whole 500g",Owoce / Marynowane warzywa,Owoce / Marynowane warzywa,,,missing_ean_standard
95c9206b-d8dc-42d6-b28c-ad31b5a7f0ea,KIMCHI-77,ADG-000024,pasta-shinshu-shiro-miso-jasna-400g-hikari-miso,"Pasta Shinshu Shiro Miso, jasna 400g Hikari Miso","Shinshu Shiro Miso Paste, Light 400g - Hikari Miso",Pasta miso,Pasta miso,,,missing_ean_standard
12ce76e0-949b-4a99-acde-fb8643d64880,KIMCHI-78,ADG-000025,wodorosty-kombu-100g-asia-kitchen,Wodorosty kombu 100g Asia Kitchen,Kombu Seaweed 100g - Asia Kitchen,Kombu / Dasima,Kombu / Dasima,,,missing_ean_standard
d46874ee-6b6d-4f06-8a62-846e63d82202,KIMCHI-82,ADG-000026,sezam-bialy-prazony-do-sushi-500g,Sezam biały prażony do sushi 500g,Roasted White Sesame for Sushi 500g,Sezam,Sezam,,,missing_ean_standard
cfbfcf6b-f828-4469-a104-5b67e3fdedc7,KIMCHI-83,ADG-000027,sezam-czarny-do-sushi-500g,Sezam czarny do sushi 500g,Black Sesame for Sushi 500g,Sezam,Sezam,,,missing_ean_standard
145221e5-27fc-46ed-9241-509572131c61,KIMCHI-84,ADG-000028,rzodkiew-oshinko-takuan-marynowana-w-zalewie-1kg,Rzodkiew Oshinko (Takuan) marynowana w zalewie 1kg,Oshinko (Takuan) Marinated Radish in Marinade 1kg,Owoce / Marynowane warzywa,Owoce / Marynowane warzywa,,,missing_ean_standard
c34fca7b-a731-46a9-b8cb-4c593ab189ce,KIMCHI-85,ADG-000029,grzyby-shiitake-suszone-50g-asia-kitchen,Grzyby shiitake suszone 50g Asia Kitchen,Dried Shiitake Mushrooms 50g - Asia Kitchen,Grzyby shiitake,Grzyby shiitake,,,missing_ean_standard
aa1d8440-baaf-4aed-901e-67f1373c40b5,KIMCHI-92,ADG-000030,olej-sezamowy-z-prazonych-ziaren-150ml-oh-aik-guan,Olej sezamowy z prażonych ziaren 150ml Oh Aik Guan,Sesame Oil from Roasted Seeds 150ml - Oh Aik Guan,Oleje,Oleje,,,missing_ean_standard
fb506d96-fec8-4bfe-9911-f607926f93f2,KIMCHI-103,ADG-000031,sezam-bialy-prazony-do-sushi-100g,Sezam biały prażony do sushi 100g,Roasted White Sesame for Sushi 100g,Sezam,Sezam,,,missing_ean_standard
469ce28a-8573-4ca1-91d2-64cfb80aadf4,KIMCHI-104,ADG-000032,sezam-czarny-do-sushi-100g,Sezam czarny do sushi 100g,Black Sesame for Sushi 100g,Sezam,Sezam,,,missing_ean_standard
