id,name,slug,category,skus,price_amounts,stock_values,dietary_tags,allergens,issues
25a2c3c5-267e-41f7-9a00-a66d22c9407a,"Algi nori do sushi, 6 listków - House of Asia",KIMCHI-14,Arkusze Nori / Gim,KIMCHI-14,12.99|12.99,100,,,missing_allergens|missing_unit_price
9772939b-e59e-4f3f-b110-0c629561662a,Algi Sushi Nori Gold 50 szt. - Sen Soy,KIMCHI-2761,Arkusze Nori / Gim,KIMCHI-2761,39.9|39.9,100,,,missing_allergens|missing_storage_zone|missing_unit_price
3c560dda-81db-4518-983b-c57dddd07b56,Algi Sushi Nori Premium Gold 10 szt - Asia Kitchen,KIMCHI-2505,Arkusze Nori / Gim,KIMCHI-2505,9.99|9.99,100,,,missing_allergens|missing_storage_zone|missing_unit_price
cc9d23b3-fb57-4788-8a28-e73456484a76,Algi Sushi Nori Premium Gold 3 x 10 szt - Asia Kitchen,KIMCHI-2506,Arkusze Nori / Gim,KIMCHI-2506,29.46|29.46,100,,,missing_allergens|missing_storage_zone|missing_unit_price
15562453-ea2a-486c-af9b-69f839c457e8,Algi Sushi Nori Premium Gold 5 x 10 szt - Asia Kitchen,KIMCHI-2507,Arkusze Nori / Gim,KIMCHI-2507,49.45|49.45,100,,,missing_allergens|missing_storage_zone|missing_unit_price
2cafcfd0-c8e2-4a5c-8d44-a01c2b52b34d,Aloe 97% Soothing Gel Lotion Intensive Moisturizing 240ml - intensywnie nawilżający aloesowy balsam do ciała - Holika Holika,KIMCHI-5450,Koreańskie kosmetyki,KIMCHI-5450,79.9|79.9,100,,,missing_allergens|missing_nutrition|missing_storage_zone
dd214412-72a5-48c9-a6d0-8af96e14c5c2,"Aloe 99% Soothing Gel 250ml - wielofunkcyjny żel aloesowy do twarzy, ciała i włosów - Holika Holika",KIMCHI-5449,Koreańskie kosmetyki,KIMCHI-5449,38.9|38.9,100,,,missing_allergens|missing_nutrition|missing_storage_zone
3bf41da3-be08-4b66-aa9c-842cff3be645,Aloe CICA Waterproof Sunscreen SPF 50+ PA++++ Wodoodporny żel przeciwsłoneczny o działaniu kojącym i nawilżającym 100ml Holika Holika,KIMCHI-5452,Koreańskie kosmetyki,KIMCHI-5452,89.9|89.9,0,,,out_of_stock|missing_allergens|missing_nutrition|missing_storage_zone
5ad12147-8c27-425f-a503-711c2a89e59b,Aloe Facial Cleansing Foam Pianka do oczyszczania twarzy z ekstraktem z aloesu 150ml Holika Holika,KIMCHI-5451,Koreańskie kosmetyki,KIMCHI-5451,42.9|42.9,100,,,missing_allergens|missing_nutrition|missing_storage_zone
9989a4cc-b93d-4e84-96ed-e67661426a5a,Aloe Soothing Jelly Mask Fresh 23ml - Aloesowa maseczka do twarzy w płachcie - Holika Holika,KIMCHI-5454,Koreańskie kosmetyki,KIMCHI-5454,16.9|16.9,100,,,missing_allergens|missing_nutrition|missing_storage_zone
1c4a4fb7-4e6c-418d-8f1e-250b4f2c72dd,"Anyż gwiaździsty, cały 50g - TRS",KIMCHI-3440,Przyprawy jednoskładnikowe,KIMCHI-3440,12.7|12.7,100,,,missing_allergens|missing_nutrition
ae4fe4e9-04e4-4d1d-becf-ec16718eef46,Aqua Petit BB 30ml - lekki krem BB z ekstraktem z zielonej herbaty - Holika Holika,KIMCHI-5463,Koreańskie kosmetyki,KIMCHI-5463,38.9|38.9,100,,,missing_allergens|missing_nutrition|missing_storage_zone
46403f5b-6402-4512-ad23-08e0cc2fdde0,Aqua Petit Jelly BB SPF20 40ml - lekki krem BB + gąbeczka - Holika Holika,KIMCHI-5832,Koreańskie kosmetyki,KIMCHI-5832,69|69,100,,,missing_allergens|missing_nutrition|missing_storage_zone
762e8c58-8152-4369-aeb0-f3bf39f653b2,"Bancha, zielona herbata z późnego zbioru 60g - Maruka",KIMCHI-3795,Herbaty,KIMCHI-3795,20.5|20.5,100,,,missing_allergens|missing_nutrition
dda2f6bc-84b6-4ecb-afe1-e3c4d36882fd,"Baza do zupy Pho, łagodna 80g - Sen Soy",KIMCHI-2578,Buliony,KIMCHI-2578,7.4|7.4,100,,fish,missing_storage_zone
c9fb3005-1b8c-440e-8390-122b1c88a26a,"Baza do zupy Tom Yum, łagodna 80g - Sen Soy",KIMCHI-2579,Buliony,KIMCHI-2579,7.4|7.4,100,,crustaceans|fish,missing_storage_zone
