sku,name,category,sourceUrl,oldCandidateAllergens,containsAllergens,mayContainAllergens,oldExtraVsContains,containsMissingFromOld,mayMissingFromOld,containsText,mayContainText
KIMCHI-5216,"2 x Angel Hair Chocolate, zestaw czekolad z anielskim włosiem i pistacjami - biała i różowa 80g Mistachio",słodycze-przekąski,https://kimchi.pl/product-pol-5216.html,cereals|soybeans|milk|nuts,cereals|soybeans|milk|nuts,,,,,"Produkt zawiera mleko, orzechy (pistacje), pszenicę i soję. Przechowywać w suchym i chłodnym miejscu.",
KIMCHI-5215,"2 x Dubai Chocolate, zestaw czekolad dubajskich z kremem pistacjowym i ciastem kataifi - mleczna i biała 160g Q Chew",słodycze-przekąski,https://kimchi.pl/product-pol-5215.html,cereals|soybeans|milk|nuts,cereals|soybeans|milk|nuts,,,,,"Produkt zawiera mleko, orzechy (pistacje), pszenicę i soję. Przechowywać w suchym i chłodnym miejscu.",
KIMCHI-5034,"Ajitsuke Menma, marynowane fermentowane pędy bambusa w plasterkach 100g - Momoya",pasty-smakowe,https://kimchi.pl/product-pol-5034.html,cereals|soybeans|sesame,cereals|soybeans|sesame,,,,,"Produkt zawiera soję, pszenicę i sezam. Przechowywać w suchym i chłodnym miejscu. Po otwarciu przechowywać w lodówce.",
KIMCHI-1428,"Ajitsuke Shiitake, grzyby w słodkiej zalewie 500g - Asia Kitchen",grzyby-shiitake,https://kimchi.pl/product-pol-1428.html,cereals|soybeans,cereals|soybeans,,,,,Produkt zawiera soję oraz pszenicę. Przechowywać w suchym i chłodnym miejscu. Po otwarciu przechowywać w lodówce. Wskazówka - Ajitsuke Shiitake można również zamrozić! W tym celu grzyby wraz z zalewą należy przełożyć do pojemnika odpornego na niskie temperatury i przechowywać w zamrażalniku. Spożyć w ciągu 1-2 miesięcy.,
KIMCHI-14,"Algi nori do sushi, 6 listków - House of Asia",arkusze-nori-gim,https://kimchi.pl/product-pol-14.html,,,,,,,,
KIMCHI-2761,Algi Sushi Nori Gold 50 szt. - Sen Soy,arkusze-nori-gim,https://kimchi.pl/product-pol-2761.html,,,,,,,,
KIMCHI-2505,Algi Sushi Nori Premium Gold 10 szt - Asia Kitchen,arkusze-nori-gim,https://kimchi.pl/product-pol-2505.html,,,,,,,,
KIMCHI-2506,Algi Sushi Nori Premium Gold 3 x 10 szt - Asia Kitchen,arkusze-nori-gim,https://kimchi.pl/product-pol-2506.html,,,,,,,,
KIMCHI-2507,Algi Sushi Nori Premium Gold 5 x 10 szt - Asia Kitchen,arkusze-nori-gim,https://kimchi.pl/product-pol-2507.html,,,,,,,,
KIMCHI-5214,"Angel Hair White Chocolate, biała czekolada z pistacjami i anielskim włosiem 80g - Mistachio",słodycze-przekąski,https://kimchi.pl/product-pol-5214.html,cereals|soybeans|milk|nuts,cereals|soybeans|milk|nuts,,,,,"Produkt zawiera mleko, orzechy (pistacje), pszenicę i soję. Przechowywać w suchym i chłodnym miejscu.",
KIMCHI-3440,"Anyż gwiaździsty, cały 50g - TRS",przyprawy-jednoskładnikowe,https://kimchi.pl/product-pol-3440.html,cereals|milk|nuts,,cereals|milk|nuts|celery|mustard|sesame,cereals|milk|nuts,,celery|mustard|sesame,Produkt,"może zawierać śladowe ilości orzeszków ziemnych i innych orzechów, nasion sezamu, zbóż zawierających gluten, mleka, selera, soi, gorczycy i siarczanów Przechowywać w suchym i chłodnym miejscu."
KIMCHI-3795,"Bancha, zielona herbata z późnego zbioru 60g - Maruka",herbaty,https://kimchi.pl/product-pol-3795.html,,,,,,,,
KIMCHI-5722,"Baza do zupy hot pot, bardzo ostra 220g - HAIDILAO",buliony,https://kimchi.pl/product-pol-5722.html,cereals|soybeans|nuts,cereals|soybeans|nuts,,,,,Produkt zawiera soję i pszenicę. Przechowywać w suchym i chłodnym miejscu. Po otwarciu przechowywać w lodówce.,
KIMCHI-5721,"Baza do zupy hot pot, ostra (medium hot) 220g - HAIDILAO",buliony,https://kimchi.pl/product-pol-5721.html,cereals|soybeans|nuts,cereals|soybeans|nuts,,,,,Produkt zawiera pszenicę i soję. Przechowywać w suchym i chłodnym miejscu. Po otwarciu przechowywać w lodówce.,
KIMCHI-5720,"Baza do zupy hot pot w kostkach, ostra 4x90g (360g) - HAIDILAO",buliony,https://kimchi.pl/product-pol-5720.html,cereals|soybeans,cereals|soybeans,,,,,Produkt zawiera soję i pszenicę. Przechowywać w suchym i chłodnym miejscu. Po otwarciu przechowywać w lodówce.,
KIMCHI-2004,"Baza do zupy, pasta do Hot Pot po syczuańsku 70g - Lee Kum Kee",pasty-smakowe,https://kimchi.pl/product-pol-2004.html,cereals|soybeans,cereals|soybeans,,,,,Produkt zawiera soję i pszenicę. Przechowywać w suchym i chłodnym miejscu. Po otwarciu przechowywać w lodówce.,
